attributes,geometry
"{'OBJECTID': 47, 'Province_State': 'Ceara', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -5.4984, 'Long_': -39.3206, 'Confirmed': 511019, 'Recovered': 353918, 'Deaths': 12870, 'Active': 144231, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Ceara, Brazil'}","{'x': -39.32059999999995, 'y': -5.498399999999947}"
"{'OBJECTID': 48, 'Province_State': 'Distrito Federal', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -15.7998, 'Long_': -47.8645, 'Confirmed': 330756, 'Recovered': 308446, 'Deaths': 5441, 'Active': 16869, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Distrito Federal, Brazil'}","{'x': -47.86449999999997, 'y': -15.799799999999948}"
"{'OBJECTID': 49, 'Province_State': 'Espirito Santo', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -19.1834, 'Long_': -40.3089, 'Confirmed': 361422, 'Recovered': 336930, 'Deaths': 6981, 'Active': 17511, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Espirito Santo, Brazil'}","{'x': -40.30889999999994, 'y': -19.18339999999995}"
"{'OBJECTID': 50, 'Province_State': 'Goias', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -15.827, 'Long_': -49.8362, 'Confirmed': 453460, 'Recovered': 433572, 'Deaths': 10411, 'Active': 9477, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Goias, Brazil'}","{'x': -49.83619999999996, 'y': -15.82699999999994}"
"{'OBJECTID': 51, 'Province_State': 'Maranhao', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -4.9609, 'Long_': -45.2744, 'Confirmed': 234635, 'Recovered': 215142, 'Deaths': 5720, 'Active': 13773, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Maranhao, Brazil'}","{'x': -45.27439999999996, 'y': -4.960899999999981}"
"{'OBJECTID': 52, 'Province_State': 'Mato Grosso', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -12.6819, 'Long_': -56.9211, 'Confirmed': 287216, 'Recovered': 265647, 'Deaths': 6792, 'Active': 14777, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Mato Grosso, Brazil'}","{'x': -56.92109999999997, 'y': -12.681899999999928}"
"{'OBJECTID': 53, 'Province_State': 'Mato Grosso do Sul', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -20.7722, 'Long_': -54.7852, 'Confirmed': 202831, 'Recovered': 186654, 'Deaths': 3854, 'Active': 12323, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Mato Grosso do Sul, Brazil'}","{'x': -54.785199999999975, 'y': -20.77219999999994}"
"{'OBJECTID': 54, 'Province_State': 'Minas Gerais', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -18.5122, 'Long_': -44.555, 'Confirmed': 1036301, 'Recovered': 933999, 'Deaths': 22055, 'Active': 80247, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Minas Gerais, Brazil'}","{'x': -44.55499999999995, 'y': -18.51219999999995}"
"{'OBJECTID': 55, 'Province_State': 'Para', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -1.9981, 'Long_': -54.9306, 'Confirmed': 397829, 'Recovered': 372661, 'Deaths': 9837, 'Active': 15331, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Para, Brazil'}","{'x': -54.93059999999997, 'y': -1.9980999999999651}"
"{'OBJECTID': 56, 'Province_State': 'Paraiba', 'Country_Region': 'Brazil', 'Last_Update': 1616502373000, 'Lat': -7.24, 'Long_': -36.782, 'Confirmed': 247312, 'Recovered': 176557, 'Deaths': 5272, 'Active': 65483, 'Admin2': None, 'FIPS': None, 'Combined_Key': 'Paraiba, Brazil'}","{'x': -36.78199999999998, 'y': -7.239999999999952}"
